TradingDate,QTP,DCM,DPM,ACB,VCB,BID,MBB,STB
2021-01-04,9800.0,12746.0,14635.0,15316.0,76646.0,38185.0,14783.0,17550.0
2021-01-05,9800.0,12746.0,14521.0,15690.0,76878.0,37908.0,15523.0,17700.0
2021-01-06,9700.0,12701.0,14368.0,15984.0,81291.0,38620.0,15616.0,18000.0
2021-01-07,9800.0,12701.0,14559.0,15984.0,82839.0,38699.0,15986.0,18450.0
2021-01-08,10400.0,12927.0,14711.0,16145.0,81136.0,38383.0,16418.0,19400.0
2021-01-11,10700.0,12882.0,14864.0,16225.0,80904.0,38185.0,16264.0,20100.0
2021-01-12,11200.0,12927.0,14864.0,16091.0,81756.0,38581.0,16140.0,19800.0
2021-01-13,11700.0,12882.0,14864.0,15958.0,81136.0,38343.0,16048.0,19500.0
2021-01-14,11600.0,12882.0,14940.0,15958.0,80439.0,38660.0,16295.0,20100.0
2021-01-15,11600.0,12882.0,14978.0,16171.0,79897.0,38660.0,16511.0,21100.0
2021-01-18,11500.0,13650.0,15321.0,16011.0,79975.0,38502.0,16171.0,20600.0
2021-01-19,11000.0,12882.0,14254.0,14915.0,76646.0,35811.0,15060.0,19200.0
2021-01-20,10900.0,12836.0,14292.0,15129.0,76723.0,36009.0,15060.0,19000.0
2021-01-21,11300.0,13017.0,14673.0,15476.0,79743.0,36800.0,15924.0,20000.0
2021-01-22,11000.0,12927.0,14635.0,15316.0,79743.0,35811.0,15801.0,19950.0
2021-01-25,10900.0,13017.0,14635.0,15022.0,79356.0,35296.0,15554.0,19350.0
2021-01-26,10600.0,12565.0,13924.0,14862.0,78117.0,33674.0,15801.0,18100.0
2021-01-27,10600.0,11932.0,13132.0,14701.0,75407.0,32685.0,14813.0,17250.0
2021-01-28,9400.0,11119.0,12223.0,13686.0,70143.0,30429.0,13795.0,16050.0
2021-01-29,10200.0,11526.0,12539.0,14327.0,72001.0,31577.0,14474.0,16900.0
2021-02-01,10200.0,10802.0,12104.0,14247.0,70530.0,30944.0,13579.0,16100.0
2021-02-02,10300.0,10667.0,11946.0,14621.0,74710.0,31142.0,14412.0,17150.0
2021-02-03,10300.0,11390.0,12618.0,15022.0,76568.0,32724.0,14968.0,18000.0
2021-02-04,10300.0,11480.0,12618.0,15075.0,76568.0,32843.0,14844.0,17600.0
2021-02-05,10400.0,11661.0,12895.0,15236.0,77420.0,33081.0,15276.0,18300.0
2021-02-08,10200.0,11345.0,12579.0,14701.0,72852.0,31735.0,14752.0,17400.0
2021-02-09,10300.0,11300.0,12618.0,15263.0,75252.0,32289.0,15276.0,18150.0
2021-02-17,10900.0,11571.0,12935.0,15717.0,77420.0,33318.0,15924.0,18750.0
2021-02-18,10900.0,12339.0,13765.0,15583.0,78968.0,34347.0,16171.0,18600.0
2021-02-19,10800.0,12475.0,13805.0,16626.0,78426.0,34901.0,16572.0,18700.0
2021-02-22,10800.0,12475.0,13726.0,16893.0,77885.0,34624.0,16480.0,18600.0
2021-02-23,10700.0,12339.0,13647.0,16947.0,77420.0,34822.0,16912.0,18800.0
